일차,구분,뜻,표기
1일차,명사,사랑,"愛 (あい)"
1일차,명사,신호,"合図 (あいず)"
1일차,명사,상대,"相手 (あいて)"
1일차,명사,"갓난아기, 젖먹이","赤ん坊 (あかんぼう)"
1일차,명사,공터,"空き地 (あきち)"
1일차,명사,악수,"握手 (あくしゅ)"
1일차,명사,하품,あくび
1일차,명사,아침 해,"朝日 (あさひ)"
1일차,명사,발자국,"足跡 (あしあと)"
1일차,명사,맛보기,"味見 (あじみ)"
1일차,명사,발밑,"足元 (あしもと)"
1일차,명사,당연함,"当たり前 (あたりまえ)"
1일차,명사,악화,"悪化 (あっか)"
1일차,명사,모임,"集まり (あつまり)"
1일차,명사,수신인 주소,"あて先 (あてさき)"
1일차,명사,구멍,"穴 (あな)"
1일차,명사,기름,"油 (あぶら)"
1일차,명사,덧문,"雨戸 (あまど)"
1일차,명사,방충망,"網戸 (あみど)"
1일차,명사,거품,"泡 (あわ)"
1일차,명사,암기,"暗記 (あんき)"
1일차,명사,변명,"言い訳 (いいわけ)"
1일차,명사,분노,"怒り (いかり)"
1일차,명사,숨,"息 (いき)"
1일차,명사,의의,"意義 (いぎ)"
1일차,명사,기세,"勢い (いきおい)"
1일차,명사,생물,"生き物 (いきもの)"
1일차,명사,육아,"育児 (いくじ)"
1일차,명사,이후,"以後 (いご)"
1일차,명사,이후,"以降 (いこう)"
1일차,명사,의사,"意思 (いし)"
1일차,명사,의사,"医師 (いし)"
1일차,명사,의지,"意志 (いし)"
1일차,명사,이전,"以前 (いぜん)"
1일차,명사,판자,"板 (いた)"
1일차,명사,아픔,"痛み (いたみ)"
1일차,명사,위치,"位置 (いち)"
1일차,명사,시장,"市場 (いちば)"
1일차,명사,일부,"一部 (いちぶ)"
1일차,명사,1개월,"一か月 (いっかげつ)"
1일차,명사,일생,"一生 (いっしょう)"
1일차,명사,일방통행,"一方通行 (いっぽうつうこう)"
1일차,명사,이동,"移動 (いどう)"
1일차,명사,사촌,いとこ
1일차,명사,꾸벅꾸벅 졸음,"居眠り (いねむり)"
1일차,명사,위반,"違反 (いはん)"
1일차,명사,의료,"医療 (いりょう)"
1일차,명사,바위,"岩 (いわ)"
1일차,명사,인상,"印象 (いんしょう)"
1일차,명사,양치질,うがい
1일차,명사,수취인,"受取人 (うけとりにん)"
1일차,명사,토끼,うさぎ
1일차,명사,소,"牛 (うし)"
1일차,명사,우회전,"右折 (うせつ)"
1일차,명사,거짓말쟁이,うそつき
1일차,명사,말,"馬 (うま)"
1일차,명사,태어남,"生まれ (うまれ)"
1일차,명사,매실,"梅 (うめ)"
1일차,명사,매출,"売り上げ (うりあげ)"
1일차,명사,매진,"売り切れ (うりきれ)"
1일차,명사,소문,"噂 (うわさ)"
1일차,명사,운하,"運河 (うんが)"
1일차,명사,운임,"運賃 (うんちん)"
1일차,명사,운전석,"運転席 (うんてんせき)"
2일차,명사,운전면허증,"運転免許証 (うんてんめんきょしょう)"
2일차,명사,영원,"永遠 (えいえん)"
2일차,명사,영향,"影響 (えいきょう)"
2일차,명사,영국,"英国 (えいこく)"
2일차,명사,영문,"英文 (えいぶん)"
2일차,명사,영양,"栄養 (えいよう)"
2일차,명사,웃는 얼굴,"笑顔 (えがお)"
2일차,명사,연회,"宴会 (えんかい)"
2일차,명사,연극,"演劇 (えんげき)"
2일차,명사,연주,"演奏 (えんそう)"
2일차,명사,소풍,"遠足 (えんそく)"
2일차,명사,조카,おい
2일차,명사,응원,"応援 (おうえん)"
2일차,명사,왕,"王様 (おうさま)"
2일차,명사,왕자,"王子 (おうじ)"
2일차,명사,횡단,"横断 (おうだん)"
2일차,명사,왕복,"往復 (おうふく)"
2일차,명사,응모,"応募 (おうぼ)"
2일차,명사,응용,"応用 (おうよう)"
2일차,명사,큰길,"大通り (おおどおり)"
